names,dates,latitude,longitude,categorical,quant1,quant2,quant3
b'Rawad',1453008863.05,-19.9886511983,-41.4355652849,Category01,1.93323916064,6.05278511771,6105.12312015
b'Eurma',1471778578.97,-8.59325634432,27.7426036979,Category00,1.52073273807,-11.0650758724,143.902725012
b'Taleia',1473613446.4,-67.4631640828,-109.366796331,Category04,1.86346646504,11.4373401056,2019.37022531
b'Niley',1481194251.12,-7.53700969292,-32.2185396091,Category03,0.745431283115,19.4155432894,3225.92064737
b'Acey',1454402794.23,-17.1168657764,2.94991414866,Category05,1.0310996368,17.7144922954,4976.09932405
b'Obert',1463099041.33,86.0505598562,-138.759293705,Category00,0.820423755697,-28.2400862456,9725.99028582
b'Kadel',1481065732.6,53.9651365062,-174.545083823,Category04,3.48547949211,9.6131040716,8133.74119175
b'Jaiyanna',1461933123.14,37.9101189248,-135.568742761,Category04,0.635373339911,-0.0849062365043,8340.32374263
b'Haylei',1469302986.36,-79.2318091891,168.419140009,Category07,0.802668189501,17.9936266081,4695.36856977
b'Ayhem',1454702027.95,33.3180670388,56.0652828055,Category09,2.35374647666,-9.8009714547,1558.90927815
b'Fedel',1477812041.93,-18.6311341069,74.3404565769,Category01,2.27919792322,14.2129625767,603.25091932
b'Atha',1466150350.26,-15.88293521,33.7556338994,Category01,2.3131991287,-9.62363471382,7044.72313626
b'Taylene',1472722913.79,69.4250344377,-124.728635302,Category05,1.07824932387,24.543467924,81.6286080003
b'Genina',1482225993.79,61.685582797,141.923635994,Category08,1.54481920744,-29.3559650867,4522.28994805
b'Elixander',1463551528.66,-67.770747387,56.0360811881,Category09,0.584292752753,18.7469037039,5441.18142148
b'Jahnya',1461510085.6,4.29601890497,161.049427794,Category02,0.59682888316,-15.441511135,5482.28519233
b'Azaya',1458175235.57,-89.1066369555,-150.37489567,Category09,2.46552194739,-8.73114818819,6751.80724018
b'Anayiah',1457540421.19,-51.3629642727,-128.872178906,Category00,2.25150178172,-8.48014525232,5394.55344036
b'Delancey',1473522920.54,45.301006813,-74.0024610161,Category02,2.90465928921,3.56572038185,3019.23273917
b'Kristyann',1473231708.16,44.0425608979,82.1244220098,Category09,0.0990426585824,25.779189587,7321.64321226
b'Maricus',1479361716.68,23.6350525873,-34.7961972675,Category09,3.09674646849,16.4605966758,1742.51805422
b'Londrea',1451647803.47,24.2465336943,145.237563859,Category05,0.784889098627,23.3434309517,3115.27416501
b'Estevon',1471407688.83,39.8722626749,117.499468509,Category09,2.58113409321,4.06746036854,1917.9055637
b'Eain',1476578168.54,-47.0914092434,129.394600285,Category08,1.70087968087,-5.84408912871,9803.11898868
b'Shavell',1475365666.16,-0.527327299902,63.8249517054,Category09,1.41672024487,-0.169746758142,8947.37855354
b'Dashani',1462194657.56,49.7047640281,-109.135565027,Category07,0.232638911547,4.99600593685,9492.39661366
b'Eldonna',1453695272.27,-21.2696475945,140.77630907,Category00,2.24397417336,-19.2267878803,8765.93126025
b'Rahn',1464104766.8,26.0761605175,-64.5081023401,Category06,3.07251831728,10.6501453333,8885.65334134
b'Minot',1473935802.81,-87.114245572,-32.3140938934,Category02,0.0637641443839,-10.2080229364,2905.10256625
b'Raymonda',1471699988.43,-9.79335301159,-8.71855184688,Category07,2.7361125081,-2.19750635697,1269.26815586
b'Ashston',1462299681.58,-29.9797648073,-64.4057037286,Category06,0.283297116757,-21.6330148738,4891.55174868
b'Koal',1474163093.69,-78.940528145,52.6264006975,Category07,0.52472974788,-24.5975198932,7054.95574751
b'Fredy',1477321084.18,-83.9063470122,-16.2012491915,Category04,2.11915517782,18.0084628971,2487.58291096
b'Gentle',1456959110.8,-4.05246045203,-155.296242834,Category00,2.15443423271,-28.4089535229,5075.13950105
b'Rito',1459661977.34,-23.989653938,-7.96936000425,Category06,2.25115721452,-3.07550243691,7935.37356052
b'Telisha',1457714039.53,2.38950813763,98.3626447667,Category05,2.11270785982,-0.549777969179,164.003102773
b'Deyla',1481619486.29,-77.1711422454,-2.00717437205,Category01,2.9588179589,-6.39244662426,5285.97199169
b'Aniysa',1453739590.84,-44.4439837228,3.68288993871,Category01,0.790111963707,-8.47690491327,5635.92567378
b'Azuredee',1473859269.66,9.71568854517,137.844507695,Category03,1.8263399522,-29.6392866388,8990.95998293
b'Jaicee',1481396775.18,-4.39600491971,175.453805925,Category05,2.04257773516,21.2114327525,5037.2325009
b'Kyuana',1470825697.43,32.3490654394,-14.9199343924,Category06,0.491573677376,26.0661403313,5070.46191847
b'Racheal',1477936727.64,12.5659020355,42.0755912497,Category03,0.055655086929,-12.0960923592,5911.97294219
b'Camaryn',1453021704.74,46.7430516849,-64.7161279606,Category00,0.559837804405,-14.7910179487,2213.15350825
b'Satoya',1451976649.98,55.162821539,-147.466803359,Category00,0.147825749193,22.9117831676,3483.86216928
b'Breeann',1464103185.55,75.0402728121,35.3571662019,Category06,1.0532614489,-16.849652079,359.997918536
b'Matsuye',1453023891.84,-59.4880145109,-14.9123703634,Category00,2.58993479872,28.1175990967,6872.72778801
b'Jasontyler',1473590837.42,35.66170279,-51.0173964987,Category00,0.855567738622,-4.30396510116,3937.71250953
b'Shuchi',1467219055.99,14.5694328515,106.496817004,Category01,2.05996649766,-26.0569525433,7982.44508621
b'Azarae',1459770163.45,80.0675046709,-116.298842069,Category08,2.98607752762,-15.900485987,1199.78061786
b'Tsitsiki',1470898638.97,-79.4163751761,103.013547924,Category09,1.24536334986,25.1361616162,4943.49028
b'Netasha',1476852340.74,14.7560782132,2.38190354413,Category00,3.13622789825,-9.99419562486,4112.75966642
b'Thordis',1472508583.37,-87.2804067636,-113.581966088,Category04,1.68601974004,28.3619021427,9865.65305207
b'Tariek',1461173105.43,-60.3181811337,-81.3113094326,Category09,3.16755255828,-14.6737254134,91.0087080905
b'Haizel',1462089478.33,-19.1871136163,5.84464209791,Category09,2.63611381686,-23.8666382868,2477.34433604
b'Mercedee',1452920338.63,2.62115555704,-15.9022633945,Category03,2.49506490648,-5.1922300432,2710.10267096
b'Tederick',1479749258.85,-23.4110124286,144.038639582,Category01,2.69632421543,-25.1148543952,9730.81724319
b'Altrice',1472265883.85,-64.2095838503,169.126129927,Category04,3.22096829814,-9.29613083764,9004.02006694
b'Seanette',1466967780.43,-61.1064531211,-63.9925108143,Category05,1.0512718038,27.2378531906,5212.82631599
b'Carrieann',1456873430.51,59.1007992857,154.60681488,Category06,2.20112758024,-13.1163153429,5985.18363075
b'Jaquory',1451959222.87,-86.1078291814,5.19480671933,Category09,1.79152932428,-26.8667793888,7300.98468208
b'Landenn',1477542054.13,9.12306368037,11.5908978589,Category03,1.46308015393,13.4211818574,8480.71062167
b'Erandi',1480184759.68,27.34392376,78.7961679144,Category04,3.15025659905,22.0990247108,7240.38707969
b'Keaundra',1482945699.17,-63.8062102815,-54.3338581957,Category07,0.340713993496,-12.624861203,4130.46991465
b'Artemisia',1479129349.97,86.2798620196,10.9903826129,Category06,3.11216473016,24.4856121847,6131.14618054
b'Lillyah',1482544728.26,47.8221150582,-9.81759434102,Category01,2.88272162589,-6.16201357512,2505.80865622
b'Peppi',1472051316.28,-43.881190673,122.344070273,Category04,1.49381111146,22.2818647746,1003.22230332
b'Yariana',1481693558.4,-44.3376512741,-80.2123706751,Category06,1.93698583398,-28.6790084098,2288.31466836
b'Jourden',1453914309.07,32.1956160179,-172.257368669,Category06,1.08525421271,21.7976720597,753.561914269
b'Zendayah',1476560690.58,-85.4923825868,-158.437751555,Category01,0.208187793094,13.2042328016,4904.31917208
b'Ershel',1482611082.33,27.8549094884,113.913038268,Category08,3.26667782146,11.3330891616,4838.56988882
b'Kaius',1463277624.6,-17.2482417061,-51.1688666528,Category02,1.87132036937,7.13678951466,6768.75239407
b'Tanekia',1476008275.32,-64.1281437901,36.0244616009,Category07,0.76978686491,3.30862539521,9473.57040695
b'Artez',1456130125.04,45.5431110872,-48.9973515379,Category08,2.06784164621,-17.5492638028,5053.27768363
b'Aaryn',1462072011.09,-55.0687688302,164.325547558,Category08,2.41030726355,-2.40158274793,4905.75575762
b'Leoh',1471493502.7,-35.2273070768,-86.0372300689,Category02,2.7309613826,-23.9026655739,7996.13897379
b'Tyshe',1458170904.66,-86.8930322307,152.773629719,Category02,2.12980042735,-24.2395124244,5785.84765269
b'Rolande',1481483255.68,-7.63775174272,76.6240431727,Category06,2.39623398144,12.2321028758,8390.99844396
b'Justis',1472754994.17,89.8215246494,-106.158244709,Category09,2.99240153415,-29.8198181687,6587.8910411
